,XRPUSDT,XEMUSDT,Spread,Zscore
0,0.6556,0.1099,-0.16095700000000002,
1,0.6656,0.1132,-0.17547599999999997,
2,0.6826,0.1123,-0.15178899999999995,
3,0.8316,0.1175,-0.041424999999999934,
4,0.8763,0.1165,0.010704999999999965,
5,0.8696,0.1209,-0.028686999999999907,
6,0.8253,0.1139,-0.020976999999999912,
7,0.7591,0.1084,-0.04631199999999991,
8,0.8223,0.1084,0.016888000000000125,
9,0.8057,0.11,-0.011600000000000055,
10,0.8012,0.1089,-0.007926999999999906,
11,0.8515,0.1141,0.0037370000000001014,
12,0.8367,0.1146,-0.014777999999999958,
13,0.7663,0.1048,-0.012364000000000042,
14,0.7841,0.102,0.026240000000000152,
15,0.8214,0.1022,0.062054000000000054,
16,0.7767,0.0988,0.04261599999999999,
17,0.7018,0.0926,0.013781999999999961,
18,0.721,0.0985,-0.010855000000000059,
19,0.6966,0.0944,-0.0047919999999999074,
20,0.6963,0.093,0.005310000000000037,0.4644147661606314
21,0.7697,0.0988,0.03561600000000009,0.8951953706157805
22,0.7507,0.1012,-0.0012159999999998838,0.12329845713642142
23,0.7215,0.1001,-0.022242999999999902,-0.8127356982595476
24,0.781,0.1084,-0.024411999999999878,-0.9608233185777127
25,0.7839,0.1097,-0.03117099999999995,-1.111287037911618
26,0.7688,0.1064,-0.021751999999999883,-0.7802161838796858
27,0.7514,0.1029,-0.01314700000000002,-0.4727459832095529
28,0.7127,0.0961,-0.001322999999999963,-0.11198122811693978
29,0.754,0.0979,0.026603000000000043,1.0150752699144991
30,0.725,0.0956,0.014691999999999927,0.47673008276723605
31,0.7197,0.0936,0.02425200000000005,0.7970162911871722
32,0.7207,0.0953,0.012621000000000104,0.30709828960279295
33,0.7658,0.101,0.015369999999999995,0.3652229331340178
34,0.7361,0.0966,0.01836199999999999,0.4326967231148502
35,0.8029,0.0936,0.10745199999999999,2.96091752652018
36,0.7856,0.0934,0.091638,2.232687078764365
37,0.7602,0.0914,0.081098,1.7544187056247076
38,0.7748,0.0949,0.06969300000000012,1.316512334226895
39,0.7657,0.0943,0.06505100000000008,1.087532530826928
40,0.7919,0.099,0.05632999999999999,0.7937963153977126
41,0.7935,0.0983,0.06313100000000005,0.8805788445296749
42,0.7966,0.1001,0.05285700000000004,0.6051082584848816
43,0.8194,0.1012,0.0674840000000001,0.8729433641526989
44,0.8057,0.0993,0.06790099999999999,0.8019141333194005
45,0.8373,0.1068,0.04377600000000004,0.135082921371711
46,0.8367,0.1082,0.03277399999999997,-0.25565997247997235
47,0.8376,0.1089,0.02847300000000008,-0.49026608069667477
48,0.8427,0.1089,0.033573000000000075,-0.43664500686265617
49,0.824,0.1076,0.024531999999999998,-0.8360624171363178
50,0.8326,0.1092,0.02124400000000004,-0.9386432944723972
51,0.8579,0.1176,-0.015867999999999993,-2.04222494245651
52,0.8641,0.1129,0.02525299999999997,-0.6827534279212505
53,0.8577,0.1223,-0.05098899999999995,-2.588124133792075
54,0.8614,0.1229,-0.051746999999999876,-2.207952409361627
55,0.8148,0.1184,-0.06491200000000008,-2.134590496625152
56,0.8277,0.1232,-0.08767599999999998,-2.2229570343438723
57,0.824,0.1221,-0.08320300000000003,-1.8651987662941465
58,0.843,0.123,-0.07089000000000001,-1.4701033503471992
59,0.826,0.1182,-0.052225999999999995,-1.0314466028251
60,0.8164,0.1146,-0.03507799999999994,-0.6496001470661756
61,0.7595,0.1035,-0.009504999999999986,-0.12485612350765377
62,0.7873,0.1072,-0.009195999999999982,-0.05615777058733078
63,0.7549,0.1016,1.2000000000123023e-05,0.18197956871931306
64,0.7622,0.1061,-0.026123000000000007,-0.28024853416937995
65,0.7543,0.1029,-0.010247000000000006,0.1630260911456207
66,0.6948,0.0948,-0.009564000000000017,0.25448527951139377
67,0.7151,0.0987,-0.01824099999999995,0.10063806929479759
68,0.7232,0.1026,-0.039117999999999986,-0.3872684397730975
69,0.7261,0.099,-0.00947000000000009,0.5323856672968558
70,0.7856,0.1013,0.032941,1.7514154146783354
71,0.7807,0.1011,0.02952699999999997,1.6104296647053247
72,0.7519,0.0972,0.029704000000000064,1.466429829445939
73,0.7698,0.0981,0.04091699999999998,1.6956280061551403
74,0.7749,0.1015,0.020754999999999968,1.058141769416712
75,0.7517,0.1006,0.004242000000000079,0.5673784589982602
76,0.7327,0.0986,0.0001020000000000465,0.39309307401590904
77,0.7178,0.0963,0.002291000000000043,0.37628572039150543
78,0.7056,0.0942,0.005693999999999977,0.4058589523187353
79,0.6979,0.0945,-0.004234999999999989,-0.0628874995731109
80,0.6931,0.0955,-0.016464999999999952,-0.7092815070635436
